Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
S,Pacer US Large Cap Cash Cows Growth Leaders Index,COWG,USD,PDG101,,,,.TRICOWG,,.FTCOWG
P,FTSE Italia Growth 100 Index,ITGRW100,EUR,PDG27,ITGRW100,,,,,.FTITGRW100
S,FTSE MIB Daily Leveraged Futures x7 Index,,EUR,PDG122,,,FMIBFLX7,,,.FTFMIBFLX7
S,FTSE MIB Daily Leveraged Futures x5 Index,FMIBFLX5,EUR,PDG122,,,FMIBFLX5,,,.FTFMIBFLX5
S,FTSE MIB Daily Short Futures x7 Index,FMIBFSX7,EUR,PDG122,,,FMIBFSX7,,,.FTFMIBFSX7
S,FTSE MIB Daily Short Futures x5 Index,FMIBFSX5,EUR,PDG122,,,FMIBFSX5,,,.FTFMIBFSX5
S,FTSE ASEAN Extended 60 Index,ASEANE60,USD,PDG112,ASEANE6T,,ASEANE6P,.TRI,,.FT
S,FTSE ASEAN Extended 60 Net Tax Index,ASEAE60N,USD,PDG112,,ASEAE60N,,,.TRIASEAE60N,
S,FTSE 100 ESG Risk-Adjusted Index,UKXESG,GBP,PDG101,,,,.TRIUKXESG,,.FTUKXESG
S,FTSE 250 ESG Risk-Adjusted Index,MCXESG,GBP,PDG101,,,,.TRIMCXESG,,.FTMCXESG
S,FTSE 350 ESG Risk-Adjusted Index,NMXESG,GBP,PDG101,,,,.TRINMXESG,,.FTNMXESG
S,FTSE All-Share ESG Risk-Adjusted Index,,GBP,PDG101,,,,.TRI,,.FT
S,FTSE Mercedes-Benz Group AG ,SSMBGN,EUR,PDG101,,,,.TRISSMBGN,,.FTSSMBGN
P,FTSE Nareit Equity Gaming REITs,FN1100,USD,PDG15,,,,,,.FTFN1100
S,FTSE Australia 00 TPI Climate Transition Index,FAS3TPI,AUD,PDG101,,,,,,.FTFAS3TPI
S,FTSE Developed Eurozone Index ,AWDEZ,USD,PDG101,AWDEZTR,,AWDEZPR,.TRIAWDEZ,,.FTAWDEZ
S,FTSE Developed Eurozone Net Tax Index ,AWDEZN,USD,PDG101,,AWDEZNT,,,.TRIAWDEZN,
S,FTSE Credit Agricole Index,SSACA,EUR,PDG101,SSDACA,,,,,.FTSSACA 
S,FTSE Danone Index,SSBNFP,EUR,PDG101,SSDBNF2,,,,,.FTSSBNFP 
S,FTSE AXA Index,SSCSFP,EUR,PDG101,SSDCSF1,,,,,.FTSSCSFP 
S,FTSE Sanofi Index,SSSAN,EUR,PDG101,SSDSAN1,,,,,.FTSSSAN 
S,FTSE Alcon AG Index,SSALC,CHF,PDG101,,,,.TRISSALC,,.FTSSALC
S,FTSE Lonza Group AG Index,SSLON,CHF,PDG101,,,,.TRISSLON,,.FTSSLON
S,FTSE Swiss Re AG Index,SSSRE,CHF,PDG101,,,,.TRISSSRE,,.FTSSSRE
S,FTSE Allianz SE Index,SSALVG,EUR,PDG101,,,,.TRISSALVG,,.FTSSALVG
S,FTSE Bayer AG DEM5 Index,SSBAYG,EUR,PDG101,SSBAYG,,,.TRISSBAYG,,.FTSSBAYG
S,FTSE Bayerische Motoren Werke Index,SSBMW,EUR,PDG101,SSBMW,,,.TRISSBMW,,.FTSSBMW
S,FTSE Deutsche Bank AG Index,SSDBKG,EUR,PDG101,,,,.TRISSDBKG,,.FTSSDBKG
S,FTSE Fresenius Medical Care AG & Co KGaA Index,SSFMEG,EUR,PDG101,,,,.TRISSFMEG,,.FTSSFMEG
S,FTSE Fresenius SE & Co KGaA Index,SSFREG,EUR,PDG101,,,,.TRISSFREG,,.FTSSFREG
S,FTSE Qiagen NV Index,SSQIA,EUR,PDG101,,,,.TRISSQIA,,.FTSSQIA
S,FTSE RWE Index,SSRWEG,EUR,PDG101,,,,.TRISSRWEG,,.FTSSRWEG
S,FTSE Sartorius AG Index,SSSATG,EUR,PDG101,,,,.TRISSSATG,,.FTSSSATG
S,FTSE EON Index,SSEON,EUR,PDG101,,,,.TRISSEON,,.FTSSEON
S,FTSE EssilorLuxottica SA Index,SSESLX,EUR,PDG101,,,,.TRISSESLX,,.FTSSESLX
S,FTSE Eurofins Scientific SE Index,SSEUFI,EUR,PDG101,,,,.TRISSEUFI,,.FTSSEUFI
S,FTSE Stellantis Index,SSSTLA,EUR,PDG101,SSSTLA,,,.TRISSSTLA,,.FTSSSTLA
S,FTSE Veolia Environnement Index,SSVIE,EUR,PDG101,,,,.TRISSVIE,,.FTSSVIE
S,FTSE Admiral Group PLC Index,SSADM,GBP,PDG101,,,,.TRISSADM,,.FTSSADM
S,FTSE Aviva PLC Index,SSAV,GBP,PDG101,,,,.TRISSAV,,.FTSSAV
S,FTSE AstraZeneca Index,SSAZN,GBP,PDG101,,,,.TRISSAZN,,.FTSSAZN
S,FTSE Barclays PLC Index,SSBARC,GBP,PDG101,,,,.TRISSBARC,,.FTSSBARC
S,FTSE Harbour Energy Index,SSHBR,GBP,PDG101,,,,.TRISSHBR,,.FTSSHBR
S,FTSE Hikma Pharmaceuticals Index,SSHIK,GBP,PDG101,,,,.TRISSHIK,,.FTSSHIK
S,FTSE Legal & General Group PLC Index,SSLGEN,GBP,PDG101,,,,.TRISSLGEN,,.FTSSLGEN
S,FTSE Lloyds Banking Group PLC Index,SSLLOY,GBP,PDG101,,,,.TRISSLLOY,,.FTSSLLOY
S,FTSE National Grid Index,SSNGT,GBP,PDG101,,,,.TRISSNGT,,.FTSSNGT
S,FTSE Natwest Group PLC Index,SSNWG,GBP,PDG101,,,,.TRISSNWG,,.FTSSNWG
S,FTSE Phoenix Group Holdings PLC Index,SSPHNX,GBP,PDG101,,,,.TRISSPHNX,,.FTSSPHNX
S,FTSE Prudential PLC Index,SSPRU,GBP,PDG101,,,,.TRISSPRU,,.FTSSPRU
S,FTSE Shell Index,SSSHEL,GBP,PDG101,,,,.TRISSSHEL,,.FTSSSHEL
S,FTSE Smith And Nephew Index,SSSN,GBP,PDG101,,,,.TRISSSN,,.FTSSSN
S,FTSE Standard Chartered PLC Index,SSSTAN,GBP,PDG101,,,,.TRISSSTAN,,.FTSSSTAN
S,FTSE Severn Trent Index,SSSVT,GBP,PDG101,,,,.TRISSSVT,,.FTSSSVT
S,FTSE United Utilities Group Index,SSUU,GBP,PDG101,,,,.TRISSUU,,.FTSSUU
S,FTSE Apple Inc Index,SSAAPL,USD,PDG101,SSAAPL,,,.TRISSAAPL,,.FTSSAAPL
S,FTSE Amazon.com Index,SSAMZN,USD,PDG101,SSAMZN,,,.TRISSAMZN,,.FTSSAMZN
S,FTSE Meta Platforms Inc Index,SSFBUW,USD,PDG101,SSFBUW,,,.TRISSFBUW,,.FTSSFBUW
S,FTSE Alphabet Class A Index,SSGOOGL,USD,PDG101,SSGOOGL,,,.TRISSGOOGL,,.FTSSGOOGL
S,FTSE Linde PLC Index,SSLIN,USD,PDG101,,,,.TRISSLIN,,.FTSSLIN
S,FTSE Microsoft Corp Index,SSMSFT,USD,PDG101,SSMSFT,,,.TRISSMSFT,,.FTSSMSFT
S,FTSE Australia 300 TPI Climate Transition Index,FAS3TPI,AUD,PDG101,,,,.TRIFAS3TPI,,.FTFAS3TPI
S,FTSE Nordea Bank Abp Index,SSNDA,EUR,PDG101,,,,.TRISSNDA,,.FTSSNDA
S,FTSE Telefonica Index ,SSTEF,EUR,PDG101,,,,.TRISSTEF,,.FTSSTEF
S,FTSE 100 ESG Risk-Adjusted Expiry Index,UKXESGSP,GBP,PDG101,,,,.TRIUKXESGSP,,.FTUKXESGSP
S,FTSE 250 ESG Risk-Adjusted Expiry Index,MCXESGSP,GBP,PDG101,,,,.TRIMCXESGSP,,.FTMCXESGSP
S,FTSE 350 ESG Risk-Adjusted Expiry Index,NMXESGSP,GBP,PDG101,,,,.TRINMXESGSP,,.FTNMXESGSP
S,FTSE Dr Ing hc F Porsche AG Index,SSP911,EUR,PDG101,,,,.TRISSP911,,.FTSSP911
S,FTSE Renault Index,SSRNO,EUR,PDG101,,,,.TRISSRNO,,.FTSSRNO
S,FTSE Ferrari NV Index,SSRACE,EUR,PDG101,,,,.TRISSRACE,,.FTSSRACE
S,FTSE Aston Martin Lagonda Global Holdings Index,SSAML,EUR,PDG101,,,,.TRISSAML,,.FTSSAML
S,FTSE Volvo Car Group Index,SSVOLVO,GBP,PDG101,,,,.TRISSVOLVO,,.FTSSVOLVO
S,FTSE Volkswagen Pfd Index ,SSVOWG,SEK,PDG101,,,,.TRISSVOWG,,.FTSSVOWG
