Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 2000 Basic Materials Industry Index,USD,PDG01RR,Real Time,R2ICBBM,-,.R2ICBBM,,,
S,Russell 2000 Basic Resources Supersector Index,USD,PDG01RR,Real Time,R2ICBBR,-,.R2ICBBR,,,
S,Russell 2000 Beverages Sector Index,USD,PDG01RR,Real Time,R2ICBBEV,-,.R2ICBBEV,,,
S,Russell 2000 Beverages Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBBEVT,-,.R2ICBBEVT,,,
S,Russell 2000 Chemicals Sector Index,USD,PDG01RR,Real Time,R2ICBCHE,-,.R2ICBCHE,,,
S,Russell 2000 Chemicals Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCHET,-,.R2ICBCHET,,,
S,Russell 2000 Chemicals Supersector Index,USD,PDG01RR,Real Time,R2ICBCML,-,.R2ICBCML,,,
S,Russell 2000 Chemicals Supersector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCMLT,-,.R2ICBCMLT,,,
S,Russell 2000 Construction and Materials  Sector Index,USD,PDG01RR,Real Time,R2ICBCOM,-,.R2ICBCOM,,,
S,Russell 2000 Construction and Materials  Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCOMT,-,.R2ICBCOMT,,,
S,Russell 2000 Construction and Materials Supersector Index,USD,PDG01RR,Real Time,R2ICBCMA,-,.R2ICBCMA,,,
S,Russell 2000 Construction and Materials Supersector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCMAT,-,.R2ICBCMAT,,,
S,Russell 2000 Consumer Discretionary Industry Index,USD,PDG01RR,Real Time,R2ICBCD,-,.R2ICBCD,,,
S,Russell 2000 Consumer Products and Services Supersector Index,USD,PDG01RR,Real Time,R2ICBCPS,-,.R2ICBCPS,,,
S,Russell 2000 Consumer Products and Services Supersector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCPST,-,.R2ICBCPST,,,
S,Russell 2000 Consumer Services  Sector Index,USD,PDG01RR,Real Time,R2ICBCSV,-,.R2ICBCSV,,,
S,Russell 2000 Consumer Services  Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBCSVT,-,.R2ICBCSVT,,,
S,Russell 2000 Consumer Staples  Industry Index,USD,PDG01RR,Real Time,R2ICBCS,-,.R2ICBCS,,,
S,Russell 2000 Daily Short Total Return Index,USD,PDG01RR,Real Time,R2S1XTR,R2S1XTR,-,,,
S,Russell 2000 Electronic and Electrical Equipment Sector Index,USD,PDG01RR,Real Time,R2ICBEEE,-,.R2ICBEEE,,,
S,Russell 2000 Electronic and Electrical Equipment Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBEEET,-,.R2ICBEEET,,,
S,Russell 2000 Energy Industry Index,USD,PDG01RR,Real Time,R2ICBEN,-,.R2ICBEN,,,
S,Russell 2000 Energy Supersector Index,USD,PDG01RR,Real Time,R2ICBENY,-,.R2ICBENY,,,
S,Russell 2000 Finance and Credit Services Sector Index,USD,PDG01RR,Real Time,R2ICBFCS,-,.R2ICBFCS,,,
S,Russell 2000 Finance and Credit Services Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBFCST,-,.R2ICBFCST,,,
S,Russell 2000 Financial Services  Supersector Index,USD,PDG01RR,Real Time,R2ICBFSV,-,.R2ICBFSV,,,
