Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Government Broad 10-15Y Index,EMTX_AG_E,EUR,PDG01MTS,EMTSER,EMTSERT= 
S,FTSE Eurozone Government Broad 15Y+ Index,EMTX_AG_F,EUR,PDG01MTS,EMTSFR,EMTSFRT= 
S,FTSE Eurozone Government Broad 15-25Y Index,EMTX_AG_FA,EUR,PDG01MTS,EMTSFAR,EMTSFART= 
S,FTSE Eurozone Government Broad 25Y+ Index,EMTX_AG_FB,EUR,PDG01MTS,EMTSFBR,EMTSFBRT= 
S,FTSE Eurozone Government Broad Index,EMTX_AG_G,EUR,PDG01MTS,EMTSGR,EMTSGRT= 
S,FTSE Eurozone Government Bond 3-5Y Index,EMTX_B,EUR,PDG01MTS,EMTXBRT,EMTXBRT= 
S,FTSE Eurozone Government Bond 5-7Y Index,EMTX_C,EUR,PDG01MTS,EMTXCRT,EMTXCRT= 
S,FTSE Eurozone Government Bond 7-10Y Index,EMTX_D,EUR,PDG01MTS,EMTXDRT,EMTXDRT= 
S,FTSE Eurozone Germany Government 1-3Y Index,EMTX_DE_A,EUR,PDG01MTS,MTSGAR,MTSGART= 
S,FTSE Eurozone Germany Government 3-5Y Index,EMTX_DE_B,EUR,PDG01MTS,MTSGBR,MTSGBRT= 
S,FTSE Eurozone Germany Government 5-7Y Index,EMTX_DE_C,EUR,PDG01MTS,MTSGCR,MTSGCRT= 
S,FTSE Eurozone Germany Government 7-10Y Index,EMTX_DE_D,EUR,PDG01MTS,MTSGDR,MTSGDRT= 
S,FTSE Eurozone Germany Government 15Y+ Index,EMTX_DE_F,EUR,PDG01MTS,MTSGFR,MTSGFRT= 
S,FTSE Eurozone Germany Government Index,EMTX_DE_G,EUR,PDG01MTS,MTSGGR,MTSGGRT= 
S,FTSE Eurozone Denmark Government Bond Index Global Realtime,EMTX_DK_G,EUR,PDG01MTS,MTSDGR,MTSDGRT= 
S,FTSE Eurozone Government Bond 10-15Y Index,EMTX_E,EUR,PDG01MTS,EMTXERT,EMTXERT= 
S,FTSE Eurozone Spain Government 1-3Y Index,EMTX_ES_A,EUR,PDG01MTS,MTSEAR,MTSEAR= 
S,FTSE Eurozone Mid Price Spain Govt 1-3 yrs EUR,EMTX_ES_A_MP,EUR,PDG01MTS,FMMPESGR,FMMPESGR= 
S,FTSE Eurozone Spain Government 3-5Y Index,EMTX_ES_B,EUR,PDG01MTS,MTSEBR,MTSEBR= 
S,FTSE Eurozone Spain Government 5-7Y Index,EMTX_ES_C,EUR,PDG01MTS,MTSECR,MTSECR= 
S,FTSE Eurozone Spain Government 7-10Y Index,EMTX_ES_D,EUR,PDG01MTS,MTSEDR,MTSEDR= 
